Name,Parameters,Examples,Description,Notes,Version Added
clear_global_event_target,<string>The unique string of the global event target to clear.,clear_global_event_target = my_country,Clears a specific global event target.,,1.8
clear_global_event_targets,yesBoolean.,clear_global_event_targets = yes,Clears all global event targets.,,1.8
clr_global_flag,<flag>The unique string of a global flag to clear.,clr_global_flag = my_flag,Clears a defined global flag.,,1.1
custom_tooltip,<string>An localized string to display in the tooltip,custom_tooltip = my_tooltip_tt,Displays a localized key in the effect tooltip.,,1.1
enable_council,yesBoolean,enable_council = yes,Starts the Council of Trent.,,1.30
finish_council,yesBoolean,finish_council = yes,Ends the Council of Trent.,,1.30
hide_ambient_object,<string>The unique string of the ambient object to hide.,hide_ambient_object = nammi2_hagia_sophia_minarets_entity,Hides a visible ambient object from themap/ambient_objects.txtfile.,,1.19
log,<string>An string to in the game.log,"log = ""myVariable: [Root.myVariable.GetValue]""",Displays a string in the game.log when executed.,"Accepts all localization commands (i.e. [Root.GetName], etc.)",1.21
save_event_target_as,<string>A unique string to identify the event target with.,"capital_scope = {
    save_event_target_as = my_province
}",Saves the current scope as a key. Is cleared once execution ends (i.e. end of event).,Use event_target:<key> to access the scope.,1.8
save_global_event_target_as,<string>A unique string to identify the global event target with.,"random_country = {
    save_global_event_target_as = my_country
}",Saves the current scope as a key. Persists after execution until cleared via effect.,Use event_target:<key> to access the scope.,1.8
set_global_flag,<flag>A unique string to identify the global flag with.,set_global_flag = my_flagset_global_flag = my_flag@ROOTset_global_flag = my_flag@event_target:name,Defines a global flag.,Flags can be appended with scopes or event targets,1.1
show_ambient_object,<string>The unique string of the ambient object to show.,show_ambient_object = nammi2_hagia_sophia_minarets_entity,Displays a hidden ambient object from themap/ambient_objects.txtfile.,,1.19
country_event,id = <id>The event id to fire.days = <days>Optional. The number of days to wait after the effect is executed to fire the event.random = <days>Optional. The max number of additional days that can be added to thedaysparameter for randomness.tooltip = <string>Optional. The tooltip to display in the effect tooltipcountry_eventis used in.,"country_event = { 
    id = celestial_empire_events.1
    days = 30
    random = 15
    tooltip = CELESTIAL_EMPIRE_TOOLTIP
}",Fire a country event for the current country scope.,You cannot fire the same event within itself with a delay of 0.,1.1
add_country_modifier,name = <name>The event modifier to add.duration = <days>Optional. The number of days to add the country modifier for. -1 means until the end of the game.hidden = yesOptional. Whether the country modifier is hidden in the government view.desc = <string>Optional. The string used to override the automatic duration string.,"add_country_modifier = { 
    name = the_proper_old_ways
    duration = -1  
    desc = PROPER_OLD_WAYS_DESC_TOOLTIP
    hidden = yes
}",Adds an event modifier to the current scope as a country modifier.,"durationis optional, but the modifier will be removed after one day if it is not used.",1.1
extend_country_modifier,name = <name>The event modifier to extend.duration = <days>The number of days to extend the country modifier for. -1 means until the end of the game.,"extend_country_modifier = { 
    name = the_proper_old_ways
    duration = 365
}",Extends an existing event modifier upon the current scope for the specified duration.,,1.35
remove_country_modifier,<modifier>The event modifier to remove.,remove_country_modifier = the_proper_old_ways,Removes an already assigned country modifier from the current scope.,Can also be used to remove ruler modifier.,1.1
set_country_flag,<flag>A unique string to identify the country flag with.,set_country_flag = my_flagset_country_flag = my_flag@ROOTset_country_flag = my_flag@event_target:name,Defines a country flag for the current scope.,Flags can be appended with scopes or event targets,1.1
