Value,Type,Description,Scope,Example
<advisor>,Integer,Returns true if the country has hired anadvisorof the specified type which has at least level X.,Country,statesman = 3
<building>,Integer,Returns true if the country has at least Xbuildingsfrom the specified building type.,Country,temple = 3
<idea group>,Integer,Returns true if the country has at least X ideas from the specifiedidea group.,Country,religious_ideas = 3
<institution>,Integer,Returns true if the support for the specifiedinstitutionin the province is at least X.,Province,printing_press = 50
<religion>,Integer,Returns true if the country has atoleranceof at least X of the specifiedreligion.Note: No correct localisation.,Country,orthodox = -2
<subject_type>,Integer,Returns true if the country has at least X subjects of the given type.,Country,vassal = 3
<trade good>,Integer,Returns true if the country has at least X provinces producing the specifiedtrade good.,Country,gold = 2
absolutism,Integer,Returns true if the country has at least X absolutism.,Country,absolutism = 50
accepted_culture,"Identifier, Province scope",Returns true if the country accepts the specifiedculture.,Country,accepted_culture = ROOT
active_major_mission,Identifier,Returns true if X is the currentmissionof the country. Obsolete since 1.25.,Country,active_major_mission = finish_reconquista
adm,Integer,Returns true if the country has arulerwith an administrative skill of at least X.,Country,adm = 3
adm,"Tag, Scope",Returns true if the country has a ruler with at least as high administrative skill as the ruler of the specified country.,Country,adm = GEO
adm_power,Integer,Returns true if the country has at least Xadministrative power.,Country,adm_power = 600
adm_power,"Tag, Scope",Returns true if the country has at least as much administrative power as the specified country.,Country,adm_power = FIN
adm_tech,Integer,Returns true if the country has anadministrative technologyof at least X.,Country,adm_tech = 4
advisor,Identifier,Returns true if the country has anadvisorof the specified type.,Country,advisor = trader
advisor_exists,Advisor ID[1],Returns true if theadvisorX exists.,Country,advisor_exists = 225
ai,Boolean,Returns true if the country is controlled by theAI.,Country,ai = yes
ai_attitude,Clause,Returns true if the country has the specifiedattitudetowards country X.,Country,"ai_attitude = {
        who = FROM
        attitude = attitude_hostile
    }"
alliance_with,"Tag, Scope",Returns true if the country has analliancewith X.,Country,alliance_with = FRA
allows_female_emperor,Boolean,Returns true if females can becomeemperor.,Anywhere,allows_female_emperor = no
always,Boolean,"Returns true under all circumstances if set to yes, returns false under all circumstances if set to no.",Anywhere,always = no
area,Identifier,Returns true if the province is part of theareaX.,Province,area = amazon_area
army_professionalism,Float,Returns true if the country'sarmy professionalismis of at least X.,Country,army_professionalism = 0.10
army_size,Integer,Returns true if the country has an army of at least X k soldiers.,Country,army_size = 15
army_size,"Tag, Scope",Returns true if the country has an army with at least as many soldiers as the specified country.,Country,army_size = SPA
army_size_percentage,Float,Returns true if the total army size of the country is at least X% of itsland force limit.,Country,army_size_percentage = 0.6
army_strength,Clause,"Returns true, if the country's army strength is at least X times the army strength of the specified country. It is unknown how the strength gets calculated. Both the army size and mil tech play a role, but there might be more factors",Country,"army_strength = {
        who = FRA
        value = 0.66
    }"
army_tradition,Integer,Returns true if the country has anarmy traditionof at least X.,Country,army_tradition = 75
army_tradition,"Tag, Scope",Returns true if the country has an at least as high army tradition as the specified country.,Country,army_tradition = RUS
artillery_fraction,Float,Returns true if the ratio of theartilleryfraction to the army size of the country is at least X.,Country,artillery_fraction = 0.6
artillery_in_province,Integer,Returns true if there are at least Xartilleryunits in the province.,Province,artillery_in_province = 5
artillery_in_province,"Tag, Scope",Returns true if there are artillery units from the specified country in the province.,Province,artillery_in_province = OMA
at_war_with_religious_enemy,Boolean,Returns true if the country is atwarwith any country of a differentreligion.,Country,at_war_with_religious_enemy = yes
authority,Integer,Returns true if theInticountry has at least X authority.,Country,authority = 5
authority,"Tag, Scope",Returns true if the Inti country has at least as much authority as the specified country.,Country,authority = MCA
average_autonomy,Integer,Returns true if the country has an averageautonomyin its provinces of at least X.,Country,average_autonomy = 5
average_autonomy_above_min,Integer,Needs description,Country,average_autonomy_above_min = 40
average_effective_unrest,Integer,Needs description,Country,average_effective_unrest = 2
average_home_autonomy,Integer,Returns true if the country has an averageautonomyin its provinces excluding overseas provinces is at least X.,Country,average_home_autonomy = 5
average_unrest,Integer,Returns true if the country has an averageunrestin its provinces of at least X.,Country,average_unrest = 2
base_manpower,Integer,Returns true if thebase manpowerof the province is at least X.,Province,base_manpower = 3
base_production,Integer,Returns true if thebase productionof the province is at least X.,Province,base_production = 5
base_tax,Integer,Returns true if thebase taxof the province is at least X.,Province,base_tax = 5
blockade,Float,Returns true if theblockadepenalty of the country is at least X%.,Country,blockade = 0.75
border_distance,Clause,Returns true if distance between the borders of the countries is at least X.,Country,"border_distance = {
        who = FRA
        distance = 100
    }"
calc_true_if,Clause,Returns true if at leastamountnumber of sub-triggers are true. Triggers can be listed explicitly as individual triggers or selected by anall_scope (must be anall_scope to work properly).,Anywhere,"calc_true_if = {
        all_country = {
            religion = protestant
        }
        amount = 10
    }"
can_be_overlord,Identifier,"Returns true, if country meets the conditions defined in the subject type'sis_potential_overlordsection.",Country,MNG = { can_be_overlord = tributary_state }
can_build,Identifier,Returns true if the specified building can be built in the province.,Province,can_build = armory
can_create_vassals,yes,Returns true if the country can create a vassal.Warning: Interprets anything after ‘=’ as “yes”.Note: Works only for independent countries.,Country,can_create_vassals = yes
can_heir_be_child_of_consort,Boolean,Returns true if the country’s heir can potentially be the consort’s child.,Country,can_heir_be_child_of_consort = yes
can_justify_trade_conflict,"Tag, Scope",Returns true if the country can justify a trade conflict against country X.,Country,can_justify_trade_conflict = FROM
can_migrate,Boolean,Returns true if the country can migrate to another province. Doesn't return true if the timer is still counting down.,Country,can_migrate = yes
can_spawn_rebels,Identifier,Returns true if the specifiedrebel factionis a valid rebel faction of the province.,Province,can_spawn_rebels = catholic_rebels
can_use_peace_treaty,Clause,Returns true if the country can use the specified peace treaty.Appears to only be in use in cbs file.,Country,"can_use_peace_treaty = {
        who = FROM
        treaty = po_join_empire
    }"
capital,Province ID,Returns true if the country'scapitalis the province with the ID X.,Country,capital = 151
capital_distance,Clause,Returns true if distance between the capitals of the countries is at least X.,Country,"capital_distance = {
        who = FRA
        distance = 100
    }"
cavalry_fraction,Float,Returns true if the ratio of thecavalryfraction to the army size of the country is at least X.,Country,cavalry_fraction = 0.5
cavalry_in_province,Integer,Returns true if there are at least Xcavalryunits in the province.,Province,cavalry_in_province = 10
cavalry_in_province,"Tag, Scope",Returns true if there are cavalry units from the specified country in the province.,Province,cavalry_in_province = ORI
check_variable,Clause,Returns true if the specified variable is at least X.,,"check_variable = {
        which = grand_embassy
        value = 6
    }"
church_power,Integer,Returns true if the country has at least Xchurch power.,Country,church_power = 20
church_power,"Tag, Scope",Returns true if the country has at least as much church power as the specified country.,Country,church_power = SAX
claim,"Tag, Scope",Returns true if the country has aclaimor permanent claim on any province owned by country X.,Country,claim = FRA
coalition_target,"Tag, Scope",Returns true if the country is the target of acoalition.,Country,coalition_target = FRA
colonial_claim_by_anyone_of_religion,Type needed,Returns true if ...has gotten a colonial grant for the scope's colonial region from any potential pope-like entities.,Scope needed',{Example needed
colonial_region,Identifier,Returns true if the province is part of thecolonial regionX.,Province,colonial_region = colonial_colombia
colony,Integer,Returns true if country has at least that many colonial subjects.,Country,colony = 5
colony_claim,Tag,Returns true if country has claim on colony,Country,colony_claim = SPA
colonysize,Integer,Returns true if colony is at least size X.,Province,colonysize = 600
consort_adm,Integer,Returns true if the country has aconsortwith an administrative skill of at least X.,Country,consort_adm = 5
consort_age,Integer,Returns true if the country’sconsorthas an age of at least X.Note: Always returns false if there is no consort.,Country,consort_age = 43
consort_culture,"Identifier, Scope","Returns true, if the country's consort has the specified culture. Can utiliseEvent Scope Values.",Country,consort_culture = prussian
consort_dip,Integer,Returns true if the country has aconsortwith an diplomatic skill of at least X.,Country,consort_dip = 5
consort_has_personality,Identifier,Returns true if the country’sconsorthas the specifiedpersonality.,Country,consort_has_personality = cruel_personality
consort_mil,Integer,Returns true if the country has aconsortwith an military skill of at least X.,Country,consort_mil = 5
consort_religion,"Identifier, Scope","Returns true, if the country's consort has the specified religion. Can utiliseEvent Scope Values.",Country,consort_religion = catholic
construction_progress,Float,Returns true if the construction progress is at least X%.,Province,construction_progress = 0.5
continent,"Identifier, Tag, Scope, Province ID",Returns true if the province is located oncontinentX.,Province,continent = north_america
controlled_by,"Tag, Scope",Returns true if the province is controlled by X.,Province,controlled_by = TUR
controls,Province ID,Returns true if the province with id X is controlled by the country.,Country,controls = 151
core_claim,"Tag, Scope",Returns true if the country has acoreon any province owned by country X.,Country,core_claim = FRA
core_percentage,Float,Returns true if the country hascoredat least X% of its provinces.,Country,core_percentage = 0.55
corruption,Float,Returns true if the country has acorruptionof at least X.,Country,corruption = 1
council_position,Identifier,Returns true if X is the country's council position in the Council of Trent.,Country,council_position = concilatory
country_or_non_sovereign_subject_holds,"Tag, Scope",Returns true if the province is part of the specified country or its non-tributary subjects.,Province,country_or_non_sovereign_subject_holds = ROOT
country_or_subject_holds,"Tag, Scope",Returns true if the province is part of the specified country or itssubjects.The oldcountry_or_vassal_holdsterm maps to the new one for compatiblity.,Province,country_or_subject_holds = ROOT
crown_land_share,"Identifier, Integer","Returns true if the % of the country's development is held by the Crown Land. If an estate is declared, returns true if % of Crown Land is higher than land owned by the estate.",Country,crown_land_share = 50crown_land_share = estate_nobles
culture,"Identifier, Scope",Returns true if the province culture is X.,Province,culture = basque
culture_group,"Identifier, Scope",Returns true if the country/province has a culture of the specifiedculture group.,CountryProvince,culture_group = iberian
culture_group_claim,Tag,Returns true if country's primary culture is the same culture group as any province owned by country X.,Country,culture_group_claim = FROM
current_age,Identifier,"Returns true, if the current age is X.",Anywhere,current_age = age_of_discovery
current_bribe,Identifier,"Returns true, if the seat in the province wants bribe X. Bribes are found in common/parliament_bribes.",Province,current_bribe = diplomatic_support
current_debate,Identifier,Returns true if the parliament of the countrydebatesabout X.,Country,current_debate = quartering_of_troops
current_icon,Identifier,"Returns true, if the country has the specified (orthodox) icon.",Country,current_icon = icon_eleusa
current_income_balance,Float,Returns true if the current income balance is X.,Country,current_income_balance = 5
current_institution,Float,"Returns true if the current institution (technically the first unembraced meaning in case you have two unembraced, it would be the older one) progress is at least X",Province,current_institution = 55
current_institution_growth,Float,"Returns true, if the country/province has a annual (whereas monthly is printed in province screen) institution growth of at least X for the first not embraced institution.","Country, Province",current_institution_growth = 12
current_size_of_parliament,Integer,Returns true if theparliamentof the country has a least X seats.,Country,current_size_of_parliament = 20
custom_trigger_tooltip,Clause,Hides the enclosed trigger so that it is still required but cannot be seen by human players and displays the specified tooltip in its place.,Anywhere,"custom_trigger_tooltip = {
        tooltip = EST_CRUSHED_NOMADIC_TRIBES
        NOT = { has_country_flag = nomadic_tribes_estate_in_power
        }
    }"
defensive_war_with,"Tag, Scope",Returns true if the country is in a defensivewarwith country X.,Country,defensive_war_with = TUR
devastation,Integer,Returns true if thedevastationof the province is at least X.,Province,devastation = 1
development,"Integer, Scope",Returns true if thedevelopmentof the province is at least X. Does not accept base scopes as of 1.32.,Province,development = 9
development_in_provinces,Clause,"Returns true, if the owned provinces that fulfil the conditions have a total of X development",Country,"development_in_provinces = {
        value = 200
        region = korea_region
    }"
development_of_overlord_fraction,Float,"Returns true, if the country has X percent of its overlord's development",Country,development_of_overlord_fraction = 0.33
devotion,Integer,Returns true if the country has at least Xdevotion.,Country,devotion = 75
devotion,"Tag, Scope",Returns true if the country has at least as much devotion as the specified country.,Country,devotion = KOL
dip,Integer,Returns true if the country has arulerwith a diplomatic skill of at least X.,Country,dip = 6
dip,"Tag, Scope",Returns true if the country has a ruler with at least as high diplomatic skill as the ruler of the specified country.,Country,dip = GRM
dip_power,Integer,Returns true if the country has at least Xdiplomatic power.,Country,dip_power = 600
dip_power,"Tag, Scope",Returns true if the country has at least as much diplomatic power as the specified country.,Country,dip_power = TEU
dip_tech,Integer,Returns true if the country has andiplomatic technologyof at least level X.,Country,dip_tech = 4
diplomatic_reputation,Integer,Returns true if the country has adiplomatic reputationof at least X.,Country,diplomatic_reputation = 10
diplomatic_reputation,"Tag, Scope",Returns true if the country has at least as much diplomatic reputation as the specified country.,Country,diplomatic_reputation = CAS
dominant_culture,"Identifier, Capital",Returns true if thedominant culturein the country is X.,Country,dominant_culture = turkish
dominant_religion,"Identifier, Capital",Returns true if the dominant religion in the country is X.,Country,dominant_religion  = catholic
doom,Integer,Returns true if the country has at least X doom.,Country,doom = 30
doom,"Tag, Scope",Returns true if the country has at least as much doom as the specified country.,Country,doom = ROOT
dynasty,Name,Returns true if the rulingdynastyof the country is X.,Country,"dynasty = ""von Habsburg"""
dynasty,"Tag, Scope",Returns true if both countries are ruled by the same dynasty.,Country,dynasty = CAS
empire_of_china_has_active_decree,"Boolean, Identifier","Returns true if the Emperor of China has an active reform, or the specified X reform.",Anywhere,empire_of_china_has_active_decree = increase_tariff_control
empire_of_china_num_reforms_passed,Integer,Returns true if the Emperor of China has passed at least X reforms.,Anywhere,empire_of_china_num_reforms_passed = 2
empire_of_china_reform_passed,Identifier(?),"Returns true, if X Empire of China reform is enacted.",Anywhere,empire_of_china_reform_passed = establish_gaituguiliu_decision
employed_advisor,Clause,Returns true if the country has employed anadvisorwith the specified characteristics.(Any combinations are permitted.),Country,"employed_advisor = {
        category = ADM | DIP | MIL
        is_male = yes
        religion = reformed
        culture = basque
        type = treasurer
            skill = <int>
            name = ""string""
            is_discounted = <yes/no>
    }"
estate_influence,Clause,Returns true if theestateX in the country has at least Y influence.NOTE:allcan be used instead of a specific estate to check if all active estates of a country have at least Y influence.*NOTE: does not work correctly with negative all estate influence modifiers,Country,"estate_influence = {
        estate = estate_church
        influence = 80
    }"
estate_led_regency_influence,Integer,"Returns true if theestateleading the regency in the country has at least X influence.NOTE: the generated tooltip is not localized, and is shared with estate_led_regency_loyalty.",Country,estate_led_regency_influence = 50
estate_led_regency_loyalty,Integer,"Returns true if theestateleading the regency in the country has at least X loyalty.NOTE: the generated tooltip is not localized, and is shared with estate_led_regency_influence.",Country,estate_led_regency_loyalty = 50
estate_loyalty,Clause,Returns true if theestateX in the country has at least Y loyalty.,Country,"estate_loyalty = {
        estate = estate_burghers
        loyalty = 50
    }"
estate_territory,Clause,Returns true if theestateX in the country controls at least Y% of the total development.,Country,"estate_territory = {
        estate = estate_nobles
        territory = 12
    }"
exclude_from_progress,Clause,Merges all triggers in the UI display to prevent long listing. Can be used in conjunction with custom tooltips.,Anywhere,"exclude_from_progress = {
        any_owned_province = {
            is_core = ROOT
            controlled_by = owner
        }
    }"
exiled_same_dynasty_as_current,Boolean,Returns true if an exiled ruler has the same dynasty as the current one.,Country,exiled_same_dynasty_as_current = yes
exists,Tag,Returns true ifcountryX exists.,Anywhere,exists = MNG
exists,Boolean,Returns true if the scopedcountryexists.,Country,exists = yes
expelled_different_minorities,Integer,Returns true if the country has expelled X amount of minority cultures.,Country,expelled_different_minorities = 5
faction_in_power,Identifier,Returns true if thefactionin power of the country is X.,Country,faction_in_power = eunuchs
faction_influence,Clause,Returns true if thefactionX of the country has at least Y influence.,Country,"faction_influence = {
        faction = mr_aristocrats
        influence = 50
    }"
federation_size,Integer,Returns true if thefederationwith the country has at least X members.,Country,federation_size = 5
fervor,Integer,Returns true if the country has stored at least X fervor points.,Country,fervor = 5
fort_level,Integer,Returns true if thefortin the province has at least level X.,Province,fort_level = 1
full_idea_group,Identifier,Returns true if the country has completed the Xidea group.,Country,full_idea_group = naval_ideas
galley_fraction,Float,Returns true if the ratio of thegalleyfraction to the navy size of the country is at least X.,Country,galley_fraction = 0.33
galleys_in_province,Integer,Returns true if there are at least Xgalleysin the province.,Province,galleys_in_province = 10
galleys_in_province,"Tag, Scope",Returns true if there are galleys from the specified country in the province.,Province,galleys_in_province = VEN
garrison,Integer,Returns true if thegarrisonis at X men.Note: The localisation is misleading.,Province,garrison = 1000
gives_fleet_basing_rights_to,"Tag, Scope",Returns true if the scoped countrygives fleet basing rights to the specified country.,Country,"FRA = {
            gives_fleet_basing_rights_to = ROOT
    }"
gives_military_access_to,"Tag, Scope",Returns true if the scoped country gives military access to the specified country.,Country,"FRA = {
            gives_military_access_to = ROOT
    }"
gold_income,Float,Returns true if the country has anincomefromGoldof at least X.,Country,gold_income = 6
gold_income_percentage,Float,Returns true if in the country the proportion ofincomefromGoldis at least X.,Country,gold_income_percentage = 0.1
governing_capacity_percentage,Float,Returns true if in the country the proportion ofgoverning capacityused is at least X.,Country,governing_capacity_percentage = 0.9
government,Identifier,"Returns true if the country hasgovernmenttype X, or government reforms that alter specific mechanics (Harem, Dictatorship).Identifier: monarchy, has_harem, republic, dictatorship, theocracy, tribal, native.",Country,government = monarchy
